origen,destino,linea,sistema,tipo_origen,tipo_destino,alcaldia_origen,alcaldia_destino,origen_lon,origen_lat,destino_lon,destino_lat,distancia_track_m,distancia_track_km,distancia_recta_m,distancia_recta_km
Pantitlán,Zaragoza,1,STC Metro,Terminal / Transbordo,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.07473572701159,19.416334085596525,-99.0822888117768,19.41192045593743,1428.6848790504391,1.4286848790504392,931.3027270610756,0.9313027270610756
Zaragoza,Gomez Farías,1,STC Metro,Intermedia,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.0822888117768,19.41192045593743,-99.09021039171121,19.416478456907367,972.6462619588128,0.9726462619588129,972.6438869316248,0.9726438869316248
Gomez Farías,Boulevard Puerto Aéreo,1,STC Metro,Intermedia,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.09021039171121,19.416478456907367,-99.09625873241016,19.419941964850207,741.6812249112991,0.7416812249112991,741.6731901277534,0.7416731901277533
Boulevard Puerto Aéreo,Balbuena,1,STC Metro,Intermedia,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.09625873241016,19.419941964850207,-99.10277436397425,19.42335533557525,781.5817985480589,0.781581798548059,781.3749871028672,0.7813749871028672
Balbuena,Moctezuma,1,STC Metro,Intermedia,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.10277436397425,19.42335533557525,-99.10979926910476,19.42685434666967,832.9325920073807,0.8329325920073807,832.9304743310898,0.8329304743310898
Moctezuma,San Lázaro,1,STC Metro,Intermedia,Transbordo,Venustiano Carranza,Venustiano Carranza,-99.10979926910476,19.42685434666967,-99.11426095239393,19.43005884961391,608.7359332744782,0.6087359332744782,587.4609747211916,0.5874609747211916
San Lázaro,Candelaria,1,STC Metro,Transbordo,Transbordo,Venustiano Carranza,Venustiano Carranza,-99.11426095239393,19.43005884961391,-99.12090955005588,19.42954014071058,1055.6456926392566,1.0556456926392566,700.3053530347609,0.7003053530347608
Candelaria,Merced,1,STC Metro,Transbordo,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.12090955005588,19.42954014071058,-99.12502541851761,19.42548757157406,860.2732465286135,0.8602732465286135,622.7197967896084,0.6227197967896084
Merced,Pino Suárez,1,STC Metro,Intermedia,Transbordo,Venustiano Carranza,Cuauhtémoc,-99.12502541851761,19.42548757157406,-99.13263861199377,19.425923495107927,816.5285242111677,0.8165285242111677,800.6841885764811,0.8006841885764812
Pino Suárez,Isabel La Católica,1,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.13263861199377,19.425923495107927,-99.13783045646255,19.42639351179822,547.515663703638,0.547515663703638,547.5120861943807,0.5475120861943806
Isabel La Católica,Salto del Agua,1,STC Metro,Intermedia,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.13783045646255,19.42639351179822,-99.14340629386963,19.426948189741864,589.9274900591745,0.5899274900591744,588.5549619983352,0.5885549619983352
Salto del Agua,Balderas,1,STC Metro,Transbordo,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.14340629386963,19.426948189741864,-99.14948115142849,19.426997876088905,643.8685112282556,0.6438685112282555,637.7552031571468,0.6377552031571467
Balderas,Cuauhtémoc,1,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.14948115142849,19.426997876088905,-99.15459795134981,19.4256611110838,557.1822220443628,0.5571822220443627,557.1519039112217,0.5571519039112217
Cuauhtémoc,Insurgentes,1,STC Metro,Intermedia,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.15459795134981,19.4256611110838,-99.16328887947714,19.423651800607303,939.1153143447491,0.939115314344749,939.0768840723542,0.9390768840723542
Insurgentes,Sevilla,1,STC Metro,Intermedia,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.16328887947714,19.423651800607303,-99.17111907391485,19.421849915921573,845.9022869141172,0.8459022869141172,845.8617362952043,0.8458617362952043
Sevilla,Chapultepec,1,STC Metro,Intermedia,Intermedia,Cuauhtémoc,Cuauhtémoc / Miguel Hidalgo,-99.17111907391485,19.421849915921573,-99.17641673157046,19.42074629504737,569.4149100328632,0.5694149100328632,569.41129539465,0.56941129539465
Chapultepec,Juanacatlán,1,STC Metro,Intermedia,Intermedia,Cuauhtémoc / Miguel Hidalgo,Miguel Hidalgo,-99.17641673157046,19.42074629504737,-99.18198382947882,19.4129516424911,1118.4040246134286,1.1184040246134286,1041.879092197687,1.041879092197687
Juanacatlán,Tacubaya,1,STC Metro,Intermedia,Transbordo,Miguel Hidalgo,Miguel Hidalgo,-99.18198382947882,19.4129516424911,-99.18763652631694,19.40251380233993,1308.9043006908105,1.3089043006908105,1298.5392164853395,1.2985392164853395
Tacubaya,Observatorio,1,STC Metro,Transbordo,Terminal,Miguel Hidalgo,Álvaro Obregón,-99.18763652631694,19.40251380233993,-99.20040474604608,19.398282375699324,1439.1111989418173,1.4391111989418173,1420.0266932213642,1.4200266932213643
Tláhuac,Tlaltenco,12,STC Metro,Terminal,Intermedia,Tláhuac,Tláhuac,-99.07473572701159,19.416334085596525,-99.0822888117768,19.41192045593743,1447.6523630702577,1.4476523630702578,1384.5589066393295,1.3845589066393296
Tlaltenco,Zapotitlán,12,STC Metro,Intermedia,Intermedia,Tláhuac,Tláhuac,-99.0822888117768,19.41192045593743,-99.09021039171121,19.416478456907367,1269.0968387589674,1.2690968387589674,1109.285932673782,1.109285932673782
Zapotitlán,Nopalera,12,STC Metro,Intermedia,Intermedia,Tláhuac,Tláhuac,-99.09021039171121,19.416478456907367,-99.09625873241016,19.419941964850207,1419.5194162676926,1.4195194162676925,1280.9443852546945,1.2809443852546945
Nopalera,Olivos,12,STC Metro,Intermedia,Intermedia,Tláhuac,Tláhuac,-99.09625873241016,19.419941964850207,-99.10277436397425,19.42335533557525,1510.3307889433454,1.5103307889433455,1500.1168933020624,1.5001168933020623
Olivos,Tezonco,12,STC Metro,Intermedia,Intermedia,Tláhuac,Iztapalapa,-99.10277436397425,19.42335533557525,-99.10979926910476,19.42685434666967,643.7029639018656,0.6437029639018655,643.7021049657897,0.6437021049657896
Tezonco,Periferico Oriente,12,STC Metro,Intermedia,Intermedia,Iztapalapa,Iztapalapa,-99.10979926910476,19.42685434666967,-99.11426095239393,19.43005884961391,1693.418949518762,1.693418949518762,1582.8685349761163,1.5828685349761162
Periferico Oriente,Calle 11,12,STC Metro,Intermedia,Intermedia,Iztapalapa,Iztapalapa,-99.11426095239393,19.43005884961391,-99.12090955005588,19.42954014071058,1255.8965902303535,1.2558965902303534,1235.3019988132062,1.2353019988132061
Calle 11,Lomas Estrella,12,STC Metro,Intermedia,Intermedia,Iztapalapa,Iztapalapa,-99.12090955005588,19.42954014071058,-99.12502541851761,19.42548757157406,1054.1092545854572,1.0541092545854571,1054.0835351451647,1.0540835351451647
Lomas Estrella,San Andres Tomatlán,12,STC Metro,Intermedia,Intermedia,Iztapalapa,Iztapalapa,-99.12502541851761,19.42548757157406,-99.13263861199377,19.425923495107927,1209.205998339654,1.209205998339654,1134.9282893510813,1.1349282893510813
San Andres Tomatlán,Culhuacán,12,STC Metro,Intermedia,Intermedia,Iztapalapa,Iztapalapa,-99.13263861199377,19.425923495107927,-99.13783045646255,19.42639351179822,1145.754679360507,1.145754679360507,1069.8379495110762,1.0698379495110761
Culhuacán,Atlalilco,12,STC Metro,Intermedia,Transbordo,Iztapalapa,Iztapalapa,-99.13783045646255,19.42639351179822,-99.14340629386963,19.426948189741864,1787.5966097959208,1.7875966097959208,1783.2733229244598,1.7832733229244597
Atlalilco,Mexicaltzingo,12,STC Metro,Transbordo,Intermedia,Iztapalapa,Iztapalapa / Coyoacán,-99.14340629386963,19.426948189741864,-99.14948115142849,19.426997876088905,2106.0204051276523,2.1060204051276523,1859.430064921844,1.859430064921844
Mexicaltzingo,Ermita,12,STC Metro,Intermedia,Transbordo,Iztapalapa / Coyoacán,Benito Juárez,-99.14948115142849,19.426997876088905,-99.15459795134981,19.4256611110838,1955.0300102850897,1.9550300102850897,1955.0163618934628,1.9550163618934628
Ermita,Eje Central,12,STC Metro,Transbordo,Intermedia,Benito Juárez,Benito Juárez,-99.15459795134981,19.4256611110838,-99.16328887947714,19.423651800607303,1042.465274264904,1.042465274264904,1041.9923931807248,1.0419923931807247
Eje Central,Parque de los Venados,12,STC Metro,Intermedia,Intermedia,Benito Juárez,Benito Juárez,-99.16328887947714,19.423651800607303,-99.17111907391485,19.421849915921573,1455.3992264586882,1.4553992264586881,1284.4490423287389,1.284449042328739
Parque de los Venados,Zapata,12,STC Metro,Intermedia,Transbordo,Benito Juárez,Benito Juárez,-99.17111907391485,19.421849915921573,-99.17641673157046,19.42074629504737,739.7982526999972,0.7397982526999972,722.9651745226577,0.7229651745226576
Zapata,Hospital 20 de Noviembre,12,STC Metro,Transbordo,Intermedia,Benito Juárez,Benito Juárez,-99.17641673157046,19.42074629504737,-99.18198382947882,19.4129516424911,569.8703526306654,0.5698703526306653,569.8685027368564,0.5698685027368564
Hospital 20 de Noviembre,Insurgentes Sur,12,STC Metro,Intermedia,Intermedia,Benito Juárez,Benito Juárez,-99.18198382947882,19.4129516424911,-99.18763652631694,19.40251380233993,792.188047930935,0.792188047930935,792.0465371045432,0.7920465371045432
Insurgentes Sur,Mixcoac,12,STC Metro,Intermedia,Terminal / Transbordo,Benito Juárez,Benito Juárez,-99.18763652631694,19.40251380233993,-99.20040474604608,19.398282375699324,921.9642988767789,0.9219642988767789,921.6428706198682,0.9216428706198682
Cuatro Caminos,Panteones,2,STC Metro,Terminal,Intermedia,Estado de México - Naucalpan de Juárez,Miguel Hidalgo,-99.07473572701159,19.416334085596525,-99.0822888117768,19.41192045593743,1793.8213364536423,1.7938213364536424,1357.384389632438,1.3573843896324378
Panteones,Tacuba,2,STC Metro,Intermedia,Transbordo,Miguel Hidalgo,Miguel Hidalgo,-99.0822888117768,19.41192045593743,-99.09021039171121,19.416478456907367,1573.8524960744571,1.573852496074457,1546.9532432732894,1.5469532432732895
Tacuba,Cuitláhuac,2,STC Metro,Transbordo,Intermedia,Miguel Hidalgo,Miguel Hidalgo,-99.09021039171121,19.416478456907367,-99.09625873241016,19.419941964850207,754.6759091913236,0.7546759091913237,744.8961964925893,0.7448961964925893
Cuitláhuac,Popotla,2,STC Metro,Intermedia,Intermedia,Miguel Hidalgo,Miguel Hidalgo,-99.09625873241016,19.419941964850207,-99.10277436397425,19.42335533557525,795.9651666667396,0.7959651666667396,792.4565757669199,0.7924565757669199
Popotla,Colegio Militar,2,STC Metro,Intermedia,Intermedia,Miguel Hidalgo,Miguel Hidalgo,-99.10277436397425,19.42335533557525,-99.10979926910476,19.42685434666967,569.8160151507582,0.5698160151507582,560.2351392647624,0.5602351392647624
Colegio Militar,Normal,2,STC Metro,Intermedia,Intermedia,Miguel Hidalgo,Miguel Hidalgo,-99.10979926910476,19.42685434666967,-99.11426095239393,19.43005884961391,720.101005251242,0.720101005251242,704.2229353885139,0.7042229353885139
Normal,San Cosme,2,STC Metro,Intermedia,Intermedia,Miguel Hidalgo,Cuauhtémoc,-99.11426095239393,19.43005884961391,-99.12090955005588,19.42954014071058,760.4548191913445,0.7604548191913445,753.598977063249,0.753598977063249
San Cosme,Revolución,2,STC Metro,Intermedia,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.12090955005588,19.42954014071058,-99.12502541851761,19.42548757157406,737.536631482013,0.737536631482013,737.5101997557573,0.7375101997557573
Revolución,Hidalgo,2,STC Metro,Intermedia,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.12502541851761,19.42548757157406,-99.13263861199377,19.425923495107927,760.2461191772818,0.7602461191772818,758.412720462818,0.758412720462818
Hidalgo,Bellas Artes,2,STC Metro,Transbordo,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.13263861199377,19.425923495107927,-99.13783045646255,19.42639351179822,602.9651147411605,0.6029651147411605,602.9105403126083,0.6029105403126083
Bellas Artes,Allende,2,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.13783045646255,19.42639351179822,-99.14340629386963,19.426948189741864,506.4729132436678,0.5064729132436678,506.3714382318507,0.5063714382318507
Allende,Zócalo/Tenochtitlan,2,STC Metro,Intermedia,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.14340629386963,19.426948189741864,-99.14948115142849,19.426997876088905,747.6323072431678,0.7476323072431679,590.9604799868607,0.5909604799868607
Zócalo/Tenochtitlan,Pino Suárez,2,STC Metro,Intermedia,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.14948115142849,19.426997876088905,-99.15459795134981,19.4256611110838,903.4731408661701,0.90347314086617,901.1166559359793,0.9011166559359793
Pino Suárez,San Antonio Abad,2,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.15459795134981,19.4256611110838,-99.16328887947714,19.423651800607303,970.0651758930871,0.9700651758930872,940.4838923894441,0.9404838923894441
San Antonio Abad,Chabacano,2,STC Metro,Intermedia,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.16328887947714,19.423651800607303,-99.17111907391485,19.421849915921573,765.4805391602749,0.7654805391602749,765.4802604531368,0.7654802604531368
Chabacano,Viaducto,2,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Benito Juárez / Iztacalco,-99.17111907391485,19.421849915921573,-99.17641673157046,19.42074629504737,929.451385198332,0.929451385198332,929.4499779792935,0.9294499779792935
Viaducto,Xola,2,STC Metro,Intermedia,Intermedia,Benito Juárez / Iztacalco,Benito Juárez,-99.17641673157046,19.42074629504737,-99.18198382947882,19.4129516424911,633.3184627470637,0.6333184627470637,633.316782871215,0.633316782871215
Xola,Villa de Cortés,2,STC Metro,Intermedia,Intermedia,Benito Juárez,Benito Juárez,-99.18198382947882,19.4129516424911,-99.18763652631694,19.40251380233993,852.7540432790793,0.8527540432790792,852.7483350622849,0.8527483350622849
Villa de Cortés,Nativitas,2,STC Metro,Intermedia,Intermedia,Benito Juárez,Benito Juárez,-99.18763652631694,19.40251380233993,-99.20040474604608,19.398282375699324,899.9436048551543,0.8999436048551542,899.942384705736,0.899942384705736
Nativitas,Portales,2,STC Metro,Intermedia,Intermedia,Benito Juárez,Benito Juárez,-99.20040474604608,19.398282375699324,-99.21584248969683,19.459593208492073,1073.1054605835143,1.0731054605835142,1073.053535024704,1.073053535024704
Portales,Ermita,2,STC Metro,Intermedia,Transbordo,Benito Juárez,Benito Juárez,-99.21584248969683,19.459593208492073,-99.20294912952721,19.458638560770133,890.2363832365154,0.8902363832365154,890.2227749129452,0.8902227749129452
Ermita,General Anaya,2,STC Metro,Transbordo,Intermedia,Benito Juárez,Coyoacán,-99.20294912952721,19.458638560770133,-99.18823093441412,19.459376010718714,993.2326403848783,0.9932326403848784,992.3575307477647,0.9923575307477647
General Anaya,Tasqueña,2,STC Metro,Intermedia,Terminal,Coyoacán,Coyoacán,-99.18823093441412,19.459376010718714,-99.18149576791224,19.457253889739235,1504.8542915735234,1.5048542915735235,1196.0711515682408,1.1960711515682407
Indios Verdes,Deportivo 18 de Marzo,3,STC Metro,Terminal,Transbordo,Gustavo A. Madero,Gustavo A. Madero,-99.07473572701159,19.416334085596525,-99.0822888117768,19.41192045593743,1317.1700673922378,1.3171700673922377,1294.0671538032611,1.294067153803261
Deportivo 18 de Marzo,Potrero,3,STC Metro,Transbordo,Intermedia,Gustavo A. Madero,Gustavo A. Madero,-99.0822888117768,19.41192045593743,-99.09021039171121,19.416478456907367,1111.7658284182835,1.1117658284182834,1111.7657971684728,1.1117657971684727
Potrero,La Raza,3,STC Metro,Intermedia,Transbordo,Gustavo A. Madero,Gustavo A. Madero,-99.09021039171121,19.416478456907367,-99.09625873241016,19.419941964850207,1214.3974041969877,1.2143974041969878,1210.0612778675322,1.2100612778675321
La Raza,Tlatelolco,3,STC Metro,Transbordo,Intermedia,Gustavo A. Madero,Cuauhtémoc,-99.09625873241016,19.419941964850207,-99.10277436397425,19.42335533557525,1628.6945715578386,1.6286945715578385,1576.113142865902,1.576113142865902
Tlatelolco,Guerrero,3,STC Metro,Intermedia,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.10277436397425,19.42335533557525,-99.10979926910476,19.42685434666967,1166.4367933135345,1.1664367933135344,1163.5241913244454,1.1635241913244454
Guerrero,Hidalgo,3,STC Metro,Transbordo,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.10979926910476,19.42685434666967,-99.11426095239393,19.43005884961391,830.2138377879755,0.8302138377879755,829.5818210068492,0.8295818210068492
Hidalgo,Juárez,3,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.11426095239393,19.43005884961391,-99.12090955005588,19.42954014071058,467.7207251599266,0.4677207251599266,466.8959787845214,0.4668959787845214
Juárez,Balderas,3,STC Metro,Intermedia,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.12090955005588,19.42954014071058,-99.12502541851761,19.42548757157406,762.9891859777554,0.7629891859777553,762.9731623904607,0.7629731623904608
Balderas,Niños Héroes/Poder Judicial CDMX,3,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.12502541851761,19.42548757157406,-99.13263861199377,19.425923495107927,786.3356798827899,0.78633567988279,786.1134865086564,0.7861134865086563
Niños Héroes/Poder Judicial CDMX,Hospital General,3,STC Metro,Intermedia,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.13263861199377,19.425923495107927,-99.13783045646255,19.42639351179822,772.0369170531576,0.7720369170531576,702.0519734378713,0.7020519734378713
Hospital General,Centro Médico,3,STC Metro,Intermedia,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.13783045646255,19.42639351179822,-99.14340629386963,19.426948189741864,779.7927869408231,0.7797927869408231,725.3829340087657,0.7253829340087656
Centro Médico,Etiopía/Plaza de la Transparencia,3,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Benito Juárez,-99.14340629386963,19.426948189741864,-99.14948115142849,19.426997876088905,1279.5887892386108,1.2795887892386109,1279.5870877135408,1.2795870877135407
Etiopía/Plaza de la Transparencia,Eugenia,3,STC Metro,Intermedia,Intermedia,Benito Juárez,Benito Juárez,-99.14948115142849,19.426997876088905,-99.15459795134981,19.4256611110838,1087.538496826788,1.087538496826788,1086.096931873772,1.086096931873772
Eugenia,División del Norte,3,STC Metro,Intermedia,Intermedia,Benito Juárez,Benito Juárez,-99.15459795134981,19.4256611110838,-99.16328887947714,19.423651800607303,812.9729145481615,0.8129729145481615,808.8757951079242,0.8088757951079242
División del Norte,Zapata,3,STC Metro,Intermedia,Transbordo,Benito Juárez,Benito Juárez,-99.16328887947714,19.423651800607303,-99.17111907391485,19.421849915921573,1030.2538019573458,1.0302538019573457,1030.1992103650587,1.0301992103650586
Zapata,Coyoacán,3,STC Metro,Transbordo,Intermedia,Benito Juárez,Benito Juárez,-99.17111907391485,19.421849915921573,-99.17641673157046,19.42074629504737,1278.5893623320153,1.2785893623320153,1276.1880906167175,1.2761880906167176
Coyoacán,Viveros/Derechos Humanos,3,STC Metro,Intermedia,Intermedia,Benito Juárez,Álvaro Obregón / Coyoacán,-99.17641673157046,19.42074629504737,-99.18198382947882,19.4129516424911,1040.3793805620899,1.0403793805620898,1027.382260769759,1.027382260769759
Viveros/Derechos Humanos,Miguel Ángel de Quevedo,3,STC Metro,Intermedia,Intermedia,Álvaro Obregón / Coyoacán,Coyoacán,-99.18198382947882,19.4129516424911,-99.18763652631694,19.40251380233993,982.0729744529453,0.9820729744529454,940.9922518180664,0.9409922518180663
Miguel Ángel de Quevedo,Copilco,3,STC Metro,Intermedia,Intermedia,Coyoacán,Coyoacán,-99.18763652631694,19.40251380233993,-99.20040474604608,19.398282375699324,1470.9221947607693,1.4709221947607694,1191.6061614658279,1.191606161465828
Copilco,Universidad,3,STC Metro,Intermedia,Terminal,Coyoacán,Coyoacán,-99.20040474604608,19.398282375699324,-99.21584248969683,19.459593208492073,1441.7721327200052,1.4417721327200053,1338.2292495823995,1.3382292495823995
Santa Anita,Jamaica,4,STC Metro,Terminal / Transbordo,Transbordo,Iztacalco,Venustiano Carranza,-99.07473572701159,19.416334085596525,-99.0822888117768,19.41192045593743,888.2875662731743,0.8882875662731743,887.8366585498561,0.8878366585498562
Jamaica,Fray Servando,4,STC Metro,Transbordo,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.0822888117768,19.41192045593743,-99.09021039171121,19.416478456907367,1189.6096345567873,1.1896096345567873,1188.0564985594006,1.1880564985594007
Fray Servando,Candelaria,4,STC Metro,Intermedia,Transbordo,Venustiano Carranza,Venustiano Carranza,-99.09021039171121,19.416478456907367,-99.09625873241016,19.419941964850207,802.3022818267336,0.8023022818267337,802.2848644965612,0.8022848644965612
Candelaria,Morelos,4,STC Metro,Transbordo,Transbordo,Venustiano Carranza,Venustiano Carranza,-99.09625873241016,19.419941964850207,-99.10277436397425,19.42335533557525,1214.7619342146536,1.2147619342146536,1213.5076408370198,1.2135076408370198
Morelos,Canal del Norte,4,STC Metro,Transbordo,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.10277436397425,19.42335533557525,-99.10979926910476,19.42685434666967,1048.9337077007162,1.0489337077007161,1048.5976119748675,1.0485976119748674
Canal del Norte,Consulado,4,STC Metro,Intermedia,Transbordo,Venustiano Carranza,Gustavo A. Madero,-99.10979926910476,19.42685434666967,-99.11426095239393,19.43005884961391,1030.8849286977984,1.0308849286977984,1030.8845616709248,1.0308845616709248
Consulado,Bondojito,4,STC Metro,Transbordo,Intermedia,Gustavo A. Madero,Gustavo A. Madero,-99.11426095239393,19.43005884961391,-99.12090955005588,19.42954014071058,760.156356909316,0.7601563569093159,759.1902775806346,0.7591902775806346
Bondojito,Talismán,4,STC Metro,Intermedia,Intermedia,Gustavo A. Madero,Gustavo A. Madero,-99.12090955005588,19.42954014071058,-99.12502541851761,19.42548757157406,1156.0341267144922,1.1560341267144922,1153.964811181369,1.153964811181369
Talismán,Martín Carrera,4,STC Metro,Intermedia,Terminal / Transbordo,Gustavo A. Madero,Gustavo A. Madero,-99.12502541851761,19.42548757157406,-99.13263861199377,19.425923495107927,1268.6941090411665,1.2686941090411665,1242.6901418082855,1.2426901418082854
Politécnico,Instituto del Petróleo,5,STC Metro,Terminal,Transbordo,Gustavo A. Madero,Gustavo A. Madero,-99.07473572701159,19.416334085596525,-99.0822888117768,19.41192045593743,1341.2683106044447,1.3412683106044447,1340.524296390841,1.340524296390841
Instituto del Petróleo,Autobuses del Norte,5,STC Metro,Transbordo,Intermedia,Gustavo A. Madero,Gustavo A. Madero,-99.0822888117768,19.41192045593743,-99.09021039171121,19.416478456907367,1214.4677767597138,1.2144677767597138,1213.4599184963158,1.2134599184963157
