NOMBRE,LINEA,SISTEMA,TIPO,ALCALDIAS,AÑO,CVE_EST,lon,lat
Pantitlán,01,STC Metro,Terminal / Transbordo,Venustiano Carranza,1984,STC0101,-99.07473572701159,19.416334085596525
Zaragoza,01,STC Metro,Intermedia,Venustiano Carranza,1969,STC0102,-99.0822888117768,19.41192045593743
Gomez Farías,01,STC Metro,Intermedia,Venustiano Carranza,1969,STC0103,-99.09021039171121,19.416478456907367
Boulevard Puerto Aéreo,01,STC Metro,Intermedia,Venustiano Carranza,1969,STC0104,-99.09625873241016,19.419941964850207
Balbuena,01,STC Metro,Intermedia,Venustiano Carranza,1969,STC0105,-99.10277436397425,19.42335533557525
Moctezuma,01,STC Metro,Intermedia,Venustiano Carranza,1969,STC0106,-99.10979926910476,19.42685434666967
San Lázaro,01,STC Metro,Transbordo,Venustiano Carranza,1969,STC0107,-99.11426095239393,19.43005884961391
Candelaria,01,STC Metro,Transbordo,Venustiano Carranza,1969,STC0108,-99.12090955005588,19.42954014071058
Merced,01,STC Metro,Intermedia,Venustiano Carranza,1969,STC0109,-99.12502541851761,19.42548757157406
Pino Suárez,01,STC Metro,Transbordo,Cuauhtémoc,1969,STC0110,-99.13263861199377,19.425923495107927
Isabel La Católica,01,STC Metro,Intermedia,Cuauhtémoc,1969,STC0111,-99.13783045646255,19.42639351179822
Salto del Agua,01,STC Metro,Transbordo,Cuauhtémoc,1969,STC0112,-99.14340629386963,19.426948189741864
Balderas,01,STC Metro,Transbordo,Cuauhtémoc,1969,STC0113,-99.14948115142849,19.426997876088905
Cuauhtémoc,01,STC Metro,Intermedia,Cuauhtémoc,1969,STC0114,-99.15459795134981,19.4256611110838
Insurgentes,01,STC Metro,Intermedia,Cuauhtémoc,1969,STC0115,-99.16328887947714,19.423651800607303
Sevilla,01,STC Metro,Intermedia,Cuauhtémoc,1969,STC0116,-99.17111907391485,19.421849915921573
Chapultepec,01,STC Metro,Intermedia,Cuauhtémoc / Miguel Hidalgo,1969,STC0117,-99.17641673157046,19.42074629504737
Juanacatlán,01,STC Metro,Intermedia,Miguel Hidalgo,1970,STC0118,-99.18198382947882,19.4129516424911
Tacubaya,01,STC Metro,Transbordo,Miguel Hidalgo,1970,STC0119,-99.18763652631694,19.40251380233993
Observatorio,01,STC Metro,Terminal,Álvaro Obregón,1972,STC0120,-99.20040474604608,19.398282375699324
Cuatro Caminos,02,STC Metro,Terminal,Estado de México - Naucalpan de Juárez,1984,STC0201,-99.21584248969683,19.459593208492073
Panteones,02,STC Metro,Intermedia,Miguel Hidalgo,1984,STC0202,-99.20294912952721,19.458638560770133
Tacuba,02,STC Metro,Transbordo,Miguel Hidalgo,1970,STC0203,-99.18823093441412,19.459376010718714
Cuitláhuac,02,STC Metro,Intermedia,Miguel Hidalgo,1970,STC0204,-99.18149576791224,19.457253889739235
Popotla,02,STC Metro,Intermedia,Miguel Hidalgo,1970,STC0205,-99.17549381434115,19.452909219801555
Colegio Militar,02,STC Metro,Intermedia,Miguel Hidalgo,1970,STC0206,-99.17177923331683,19.449273554997184
Normal,02,STC Metro,Intermedia,Miguel Hidalgo,1970,STC0207,-99.16727403741045,19.44455770552456
San Cosme,02,STC Metro,Intermedia,Cuauhtémoc,1970,STC0208,-99.16066207280677,19.441904254426483
Revolución,02,STC Metro,Intermedia,Cuauhtémoc,1970,STC0209,-99.15422782571336,19.439227179139703
Hidalgo,02,STC Metro,Transbordo,Cuauhtémoc,1970,STC0210,-99.14722340551585,19.43754674790357
Bellas Artes,02,STC Metro,Transbordo,Cuauhtémoc,1970,STC0211,-99.14161363737124,19.436377755896043
Allende,02,STC Metro,Intermedia,Cuauhtémoc,1970,STC0212,-99.13686784023699,19.43555800327121
Zócalo/Tenochtitlan,02,STC Metro,Intermedia,Cuauhtémoc,1970,STC0213,-99.13225107327767,19.432501910975944
San Antonio Abad,02,STC Metro,Intermedia,Cuauhtémoc,1970,STC0215,-99.13453987415669,19.41602164706914
Chabacano,02,STC Metro,Transbordo,Cuauhtémoc,1970,STC0216,-99.1356181172527,19.40917986927759
Viaducto,02,STC Metro,Intermedia,Benito Juárez / Iztacalco,1970,STC0217,-99.13689959248839,19.400868658018997
Xola,02,STC Metro,Intermedia,Benito Juárez,1970,STC0218,-99.13780817932107,19.395210509950374
Villa de Cortés,02,STC Metro,Intermedia,Benito Juárez,1970,STC0219,-99.13895916622117,19.38758177582601
Nativitas,02,STC Metro,Intermedia,Benito Juárez,1970,STC0220,-99.14018788970765,19.37953276091363
Portales,02,STC Metro,Intermedia,Benito Juárez,1970,STC0221,-99.14157355491439,19.36992483866799
Ermita,02,STC Metro,Transbordo,Benito Juárez,1970,STC0222,-99.14290376152475,19.361979299764318
General Anaya,02,STC Metro,Intermedia,Coyoacán,1970,STC0223,-99.14500636295455,19.353235914861184
Tasqueña,02,STC Metro,Terminal,Coyoacán,1970,STC0224,-99.13953277638426,19.343757098277724
Indios Verdes,03,STC Metro,Terminal,Gustavo A. Madero,1979,STC0301,-99.11950993825916,19.495337618645664
Deportivo 18 de Marzo,03,STC Metro,Transbordo,Gustavo A. Madero,1979,STC0302,-99.12549791712465,19.485114151342465
Potrero,03,STC Metro,Intermedia,Gustavo A. Madero,1979,STC0303,-99.13201368299404,19.47719201148074
La Raza,03,STC Metro,Transbordo,Gustavo A. Madero,1978,STC0304,-99.13950623022468,19.468880133789003
Tlatelolco,03,STC Metro,Intermedia,Cuauhtémoc,1970,STC0305,-99.1431330841341,19.45505814280372
Guerrero,03,STC Metro,Transbordo,Cuauhtémoc,1970,STC0306,-99.14519334406981,19.44472633482843
Juárez,03,STC Metro,Intermedia,Cuauhtémoc,1970,STC0308,-99.14768330576317,19.43325034645042
Niños Héroes/Poder Judicial CDMX,03,STC Metro,Intermedia,Cuauhtémoc,1970,STC0310,-99.15036426521944,19.419484310191944
Hospital General,03,STC Metro,Intermedia,Cuauhtémoc,1970,STC0311,-99.15324536177903,19.413758753579426
Centro Médico,03,STC Metro,Transbordo,Cuauhtémoc,1980,STC0312,-99.15513468952369,19.40745314744384
Etiopía/Plaza de la Transparencia,03,STC Metro,Intermedia,Benito Juárez,1980,STC0313,-99.15603141534933,19.395920531617364
Eugenia,03,STC Metro,Intermedia,Benito Juárez,1980,STC0314,-99.15720459756614,19.386168518115365
División del Norte,03,STC Metro,Intermedia,Benito Juárez,1980,STC0315,-99.1594791658047,19.379184435402276
Zapata,03,STC Metro,Transbordo,Benito Juárez,1980,STC0316,-99.16451029765572,19.371191786554387
Coyoacán,03,STC Metro,Intermedia,Benito Juárez,1983,STC0317,-99.17086152734286,19.361359077350073
Viveros/Derechos Humanos,03,STC Metro,Intermedia,Álvaro Obregón / Coyoacán,1983,STC0318,-99.17600108606379,19.353459024524685
Miguel Ángel de Quevedo,03,STC Metro,Intermedia,Coyoacán,1983,STC0319,-99.18075665564406,19.346251833085887
Copilco,03,STC Metro,Intermedia,Coyoacán,1983,STC0320,-99.17697359521604,19.33609927480332
Universidad,03,STC Metro,Terminal,Coyoacán,1983,STC0321,-99.17393845558945,19.324353482894324
Santa Anita,04,STC Metro,Terminal / Transbordo,Iztacalco,1982,STC0401,-99.12169560425865,19.402891572700973
Jamaica,04,STC Metro,Transbordo,Venustiano Carranza,1982,STC0402,-99.12174358812516,19.41091506041839
Fray Servando,04,STC Metro,Intermedia,Venustiano Carranza,1982,STC0403,-99.12053345294457,19.421590266885172
Morelos,04,STC Metro,Transbordo,Venustiano Carranza,1981,STC0405,-99.11815212250657,19.439664164892267
Canal del Norte,04,STC Metro,Intermedia,Venustiano Carranza,1981,STC0406,-99.11613305076399,19.448945007975038
Consulado,04,STC Metro,Transbordo,Gustavo A. Madero,1981,STC0407,-99.11390384847114,19.45801819921654
Bondojito,04,STC Metro,Intermedia,Gustavo A. Madero,1981,STC0408,-99.11197677850316,19.46463120134616
Talismán,04,STC Metro,Intermedia,Gustavo A. Madero,1981,STC0409,-99.10801223861532,19.4743583148983
Martín Carrera,04,STC Metro,Terminal / Transbordo,Gustavo A. Madero,1981,STC0410,-99.10436947745445,19.4850441446716
Politécnico,05,STC Metro,Terminal,Gustavo A. Madero,1982,STC0501,-99.14920599260093,19.50067869865116
Instituto del Petróleo,05,STC Metro,Transbordo,Gustavo A. Madero,1982,STC0502,-99.14470974913316,19.489339309334294
Autobuses del Norte,05,STC Metro,Intermedia,Gustavo A. Madero,1982,STC0503,-99.14065073858234,19.479070895908745
Misterios,05,STC Metro,Intermedia,Gustavo A. Madero / Cuauhtémoc,1982,STC0505,-99.1302395703195,19.463112195663303
Valle Gómez,05,STC Metro,Intermedia,Gustavo A. Madero / Venustiano Carranza,1982,STC0506,-99.11949099066608,19.458872139807024
Eduardo Molina,05,STC Metro,Intermedia,Gustavo A. Madero / Venustiano Carranza,1981,STC0508,-99.10529969848143,19.45139751377978
Aragón,05,STC Metro,Intermedia,Gustavo A. Madero / Venustiano Carranza,1981,STC0509,-99.09620515376837,19.451257588432135
Oceanía,05,STC Metro,Transbordo,Venustiano Carranza,1981,STC0510,-99.08687292405605,19.44502048612666
Terminal Aérea,05,STC Metro,Intermedia,Venustiano Carranza,1981,STC0511,-99.08807623735903,19.434265101782927
Hangares,05,STC Metro,Intermedia,Venustiano Carranza,1981,STC0512,-99.08813377459762,19.42434990786488
El Rosario,06,STC Metro,Terminal / Transbordo,Azcapotzalco,1983,STC0601,-99.19976981622266,19.504630143602103
Tezozómoc,06,STC Metro,Intermedia,Azcapotzalco,1983,STC0602,-99.19602298699967,19.494895164082454
UAM Azcapotzalco,06,STC Metro,Intermedia,Azcapotzalco,1983,STC0603,-99.18626730878705,19.49090814292121
Ferrería/Arena Ciudad de México,06,STC Metro,Intermedia,Azcapotzalco,1983,STC0604,-99.17415168259645,19.490673429052162
Norte 45,06,STC Metro,Intermedia,Azcapotzalco,1983,STC0605,-99.16299035407454,19.488671413505823
Vallejo,06,STC Metro,Intermedia,Azcapotzalco,1983,STC0606,-99.15600430946392,19.48984778693472
Lindavista,06,STC Metro,Intermedia,Gustavo A. Madero,1986,STC0608,-99.135071417918,19.488112987791897
La Villa/Basílica,06,STC Metro,Intermedia,Gustavo A. Madero,1986,STC0610,-99.11836926186176,19.481735808267246
Aquiles Serdán,07,STC Metro,Intermedia,Azcapotzalco,1988,STC0702,-99.19535232730325,19.49064014278564
Camarones,07,STC Metro,Intermedia,Azcapotzalco,1988,STC0703,-99.19003757146507,19.479111542683896
Refinería,07,STC Metro,Intermedia,Azcapotzalco,1988,STC0704,-99.1905055272923,19.46947289434234
San Joaquín,07,STC Metro,Intermedia,Miguel Hidalgo,1984,STC0706,-99.19176696408843,19.44500753968244
Polanco,07,STC Metro,Intermedia,Miguel Hidalgo,1984,STC0707,-99.1909251080933,19.433553135623136
Auditorio,07,STC Metro,Intermedia,Miguel Hidalgo,1984,STC0708,-99.1920289044083,19.42576382554425
Constituyentes,07,STC Metro,Intermedia,Miguel Hidalgo,1985,STC0709,-99.19135185542875,19.411770866194253
San Pedro de Los Pinos,07,STC Metro,Intermedia,Benito Juárez,1985,STC0711,-99.1858059348452,19.39149177284933
San Antonio,07,STC Metro,Intermedia,Benito Juárez,1985,STC0712,-99.18661355277949,19.38433767025257
Mixcoac,07,STC Metro,Transbordo,Benito Juárez,1985,STC0713,-99.18758241553665,19.37625650166226
Barranca del Muerto,07,STC Metro,Terminal,Álvaro Obregón,1985,STC0714,-99.18926370689458,19.361501563286584
Garibaldi/Lagunilla,08,STC Metro,Terminal / Transbordo,Cuauhtémoc,1994,STC0801,-99.13900441274583,19.444001288500854
San Juan de Letrán,08,STC Metro,Intermedia,Cuauhtémoc,1994,STC0803,-99.14125061054364,19.431580449036026
Doctores,08,STC Metro,Intermedia,Cuauhtémoc,1994,STC0805,-99.14318940867469,19.421545611577116
Obrera,08,STC Metro,Intermedia,Cuauhtémoc,1994,STC0806,-99.14403796372382,19.413240376209362
La Viga,08,STC Metro,Intermedia,Cuauhtémoc / Venustiano Carranza,1994,STC0808,-99.1262690624544,19.406709434404345
Coyuya,08,STC Metro,Intermedia,Iztacalco,1994,STC0810,-99.11348043121852,19.398302895714913
Iztacalco,08,STC Metro,Intermedia,Iztacalco,1994,STC0811,-99.11211173088554,19.38828875746519
Apatlaco,08,STC Metro,Intermedia,Iztapalapa,1994,STC0812,-99.10949014642031,19.3790998138262
Aculco,08,STC Metro,Intermedia,Iztapalapa,1994,STC0813,-99.1077035934306,19.37321141061217
Escuadrón 201,08,STC Metro,Intermedia,Iztapalapa,1994,STC0814,-99.10948498429173,19.3648364116397
Atlalilco,08,STC Metro,Transbordo,Iztapalapa,1994,STC0815,-99.10130942995006,19.35608448367419
Iztapalapa,08,STC Metro,Intermedia,Iztapalapa,1994,STC0816,-99.09344907670477,19.3578249372119
Cerro de la Estrella,08,STC Metro,Intermedia,Iztapalapa,1994,STC0817,-99.08561607648716,19.356047872500543
UAM-I,08,STC Metro,Intermedia,Iztapalapa,1994,STC0818,-99.07481741890497,19.351056166857287
Constitución de 1917,08,STC Metro,Terminal,Iztapalapa,1994,STC0819,-99.06379884994618,19.345968405928243
Puebla,09,STC Metro,Intermedia,Venustiano Carranza / Iztacalco,1987,STC0902,-99.08238587967575,19.40719214298364
Ciudad Deportiva,09,STC Metro,Intermedia,Venustiano Carranza / Iztacalco,1987,STC0903,-99.0912519463776,19.408433982240478
Velódromo,09,STC Metro,Intermedia,Venustiano Carranza,1987,STC0904,-99.10315771222376,19.408539286354042
Mixhiuca,09,STC Metro,Intermedia,Venustiano Carranza,1987,STC0905,-99.11296847676732,19.4083714401572
Lázaro Cárdenas,09,STC Metro,Intermedia,Cuauhtémoc,1987,STC0908,-99.14462826288435,19.407218273838726
Chilpancingo,09,STC Metro,Intermedia,Cuauhtémoc,1988,STC0910,-99.16851936424604,19.405929858827395
Patriotismo,09,STC Metro,Intermedia,Cuauhtémoc / Miguel Hidalgo,1988,STC0911,-99.1789225975409,19.40610899290181
Tláhuac,12,STC Metro,Terminal,Tláhuac,2012,STC1201,-99.0141983243777,19.286022277290176
Tlaltenco,12,STC Metro,Intermedia,Tláhuac,2012,STC1202,-99.02403074663107,19.294353379107935
Zapotitlán,12,STC Metro,Intermedia,Tláhuac,2012,STC1203,-99.03430689003962,19.296655586515058
Nopalera,12,STC Metro,Intermedia,Tláhuac,2012,STC1204,-99.04599286885365,19.299957304889258
Olivos,12,STC Metro,Intermedia,Tláhuac,2012,STC1205,-99.05951149501792,19.304321996002184
Tezonco,12,STC Metro,Intermedia,Iztapalapa,2012,STC1206,-99.06527026370269,19.306308825509696
Periferico Oriente,12,STC Metro,Intermedia,Iztapalapa,2012,STC1207,-99.07450575078416,19.317611568465104
Calle 11,12,STC Metro,Intermedia,Iztapalapa,2012,STC1208,-99.08587286436709,19.320471151871725
Lomas Estrella,12,STC Metro,Intermedia,Iztapalapa,2012,STC1209,-99.09575048151491,19.322148856344057
San Andres Tomatlán,12,STC Metro,Intermedia,Iztapalapa,2012,STC1210,-99.1045158609058,19.32814547952075
Culhuacán,12,STC Metro,Intermedia,Iztapalapa,2012,STC1211,-99.10895874517293,19.336845611079582
Mexicaltzingo,12,STC Metro,Intermedia,Iztapalapa / Coyoacán,2012,STC1213,-99.1231432322264,19.35776253608585
Eje Central,12,STC Metro,Intermedia,Benito Juárez,2012,STC1215,-99.15142336147862,19.361341237938568
Parque de los Venados,12,STC Metro,Intermedia,Benito Juárez,2012,STC1216,-99.15871771897177,19.37065883497745
Hospital 20 de Noviembre,12,STC Metro,Intermedia,Benito Juárez,2012,STC1218,-99.17088446276829,19.37201337695184
Insurgentes Sur,12,STC Metro,Intermedia,Benito Juárez,2012,STC1219,-99.17825012925253,19.373553470227108
Agrícola Oriental,A,STC Metro,Intermedia,Iztacalco,1991,STCLA02,-99.06956646430945,19.404618895931353
Canal de San Juan,A,STC Metro,Intermedia,Iztacalco,1991,STCLA03,-99.05942280066026,19.39876293119974
Tepalcates,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA04,-99.04632939735716,19.391276494960067
Guelatao,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA05,-99.03565960069986,19.385153887463556
Peñón Viejo,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA06,-99.01705483641234,19.373305051789014
Acatitla,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA07,-99.00567271685955,19.364717390396216
Santa Marta,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA08,-98.99517832323626,19.36030504737167
Los Reyes,A,STC Metro,Intermedia,Estado de México - La Paz,1991,STCLA09,-98.97686678250444,19.35903746198999
La Paz,A,STC Metro,Terminal,Estado de México - La Paz,1991,STCLA10,-98.96093725042675,19.350561572133337
Buenavista,B,STC Metro,Terminal,Cuauhtémoc,1999,STCLB01,-99.15235137742634,19.446185903359645
Lagunilla,B,STC Metro,Intermedia,Cuauhtémoc,1999,STCLB04,-99.13023042923575,19.443220041827658
Tepito,B,STC Metro,Intermedia,Cuauhtémoc,1999,STCLB05,-99.12406744029855,19.442789391295424
Ricardo Flores Magón,B,STC Metro,Intermedia,Venustiano Carranza,1999,STCLB08,-99.10370874117547,19.43656537337327
Romero Rubio,B,STC Metro,Intermedia,Venustiano Carranza,1999,STCLB09,-99.09420167473102,19.440835354165493
Deportivo Oceanía,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB11,-99.07933423067036,19.451011097259663
Bosque de Aragón,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB12,-99.0692886960206,19.458094772963857
Villa de Aragón,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB13,-99.06138196686965,19.461670791944844
Nezahualcóyotl,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB14,-99.05461333650334,19.472885633631996
Impulsora,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB15,-99.0489571600943,19.485753223001417
Río de los Remedios,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB16,-99.04678664175502,19.490688675585073
Múzquiz,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB17,-99.0420671972603,19.501490328356404
Ecatepec,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB18,-99.0360693374375,19.515125082713773
Olímpica,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB19,-99.03334249438895,19.521344934228452
Plaza Aragón,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB20,-99.03018454966082,19.528475893853724
Ciudad Azteca,B,STC Metro,Terminal,Estado de México - Ecatepec,2000,STCLB21,-99.0275097173377,19.53451306511141
